,id,score,avg_conf,text,wid,agegroup,gender,hand,thirdgrade_usa,thirdgrade_usa_region,s1_dae,s1_time,s2_dae,s2_time,s3_dae,s3_time
91,w0004_s02_pLND_r03,0.375,79.63688429011854,london,4,18-24,female,ambidextrous,True,,0.0,latemorning,21.0,earlyafternoon,44.0,earlymorning
92,w0004_s02_pPHR_r01,0.9285714285714286,93.35675157819476,phrase,4,18-24,female,ambidextrous,True,,0.0,latemorning,21.0,earlyafternoon,44.0,earlymorning
93,w0004_s02_pPHR_r02,0.7142857142857143,90.18981647491455,phrase,4,18-24,female,ambidextrous,True,,0.0,latemorning,21.0,earlyafternoon,44.0,earlymorning
94,w0004_s02_pPHR_r03,0.2857142857142857,64.00392875671386,phrase,4,18-24,female,ambidextrous,True,,0.0,latemorning,21.0,earlyafternoon,44.0,earlymorning
95,w0004_s02_pWOZ_r01,0.6818181818181819,91.20417630672455,woz,4,18-24,female,ambidextrous,True,,0.0,latemorning,21.0,earlyafternoon,44.0,earlymorning
96,w0004_s02_pWOZ_r02,0.48484848484848486,83.26280245099748,woz,4,18-24,female,ambidextrous,True,,0.0,latemorning,21.0,earlyafternoon,44.0,earlymorning
97,w0004_s02_pWOZ_r03,0.6363636363636364,89.1052235401038,woz,4,18-24,female,ambidextrous,True,,0.0,latemorning,21.0,earlyafternoon,44.0,earlymorning
98,w0004_s03_pLND_r01,0.8181818181818181,92.74155493842231,london,4,18-24,female,ambidextrous,True,,0.0,latemorning,21.0,earlyafternoon,44.0,earlymorning
99,w0004_s03_pLND_r02,0.6136363636363636,85.0102633052402,london,4,18-24,female,ambidextrous,True,,0.0,latemorning,21.0,earlyafternoon,44.0,earlymorning
100,w0004_s03_pLND_r03,0.5454545454545454,79.99801305282948,london,4,18-24,female,ambidextrous,True,,0.0,latemorning,21.0,earlyafternoon,44.0,earlymorning
101,w0004_s03_pPHR_r01,0.9285714285714286,97.22760365804037,phrase,4,18-24,female,ambidextrous,True,,0.0,latemorning,21.0,earlyafternoon,44.0,earlymorning
102,w0004_s03_pPHR_r02,0.8571428571428572,95.68439292907715,phrase,4,18-24,female,ambidextrous,True,,0.0,latemorning,21.0,earlyafternoon,44.0,earlymorning
103,w0004_s03_pPHR_r03,0.8571428571428572,94.59940134684244,phrase,4,18-24,female,ambidextrous,True,,0.0,latemorning,21.0,earlyafternoon,44.0,earlymorning
104,w0004_s03_pWOZ_r01,0.6363636363636364,88.6636109650135,woz,4,18-24,female,ambidextrous,True,,0.0,latemorning,21.0,earlyafternoon,44.0,earlymorning
105,w0004_s03_pWOZ_r02,0.6363636363636364,87.26902213241115,woz,4,18-24,female,ambidextrous,True,,0.0,latemorning,21.0,earlyafternoon,44.0,earlymorning
106,w0004_s03_pWOZ_r03,0.5606060606060606,84.78662356208352,woz,4,18-24,female,ambidextrous,True,,0.0,latemorning,21.0,earlyafternoon,44.0,earlymorning
107,w0005_s01_pLND_r01,0.6818181818181819,89.45592335620559,london,5,18-24,male,right,True,midwest,0.0,latemorning,21.0,earlyafternoon,42.0,latemorning
108,w0005_s01_pLND_r02,0.7386363636363636,87.79242286682128,london,5,18-24,male,right,True,midwest,0.0,latemorning,21.0,earlyafternoon,42.0,latemorning
109,w0005_s01_pLND_r03,0.6931818181818181,89.87540684868307,london,5,18-24,male,right,True,midwest,0.0,latemorning,21.0,earlyafternoon,42.0,latemorning
110,w0005_s01_pPHR_r01,0.7857142857142857,94.39107806865985,phrase,5,18-24,male,right,True,midwest,0.0,latemorning,21.0,earlyafternoon,42.0,latemorning
111,w0005_s01_pPHR_r02,0.7857142857142857,86.98271737779889,phrase,5,18-24,male,right,True,midwest,0.0,latemorning,21.0,earlyafternoon,42.0,latemorning
112,w0005_s01_pPHR_r03,0.9285714285714286,93.87612479073661,phrase,5,18-24,male,right,True,midwest,0.0,latemorning,21.0,earlyafternoon,42.0,latemorning
113,w0005_s01_pWOZ_r01,0.7727272727272727,90.86950076710094,woz,5,18-24,male,right,True,midwest,0.0,latemorning,21.0,earlyafternoon,42.0,latemorning
114,w0005_s01_pWOZ_r02,0.8333333333333334,91.4131723572226,woz,5,18-24,male,right,True,midwest,0.0,latemorning,21.0,earlyafternoon,42.0,latemorning
115,w0005_s01_pWOZ_r03,0.7272727272727273,86.52104389133738,woz,5,18-24,male,right,True,midwest,0.0,latemorning,21.0,earlyafternoon,42.0,latemorning
116,w0005_s02_pLND_r01,0.7045454545454546,85.53972856858198,london,5,18-24,male,right,True,midwest,0.0,latemorning,21.0,earlyafternoon,42.0,latemorning
117,w0005_s02_pLND_r02,0.6818181818181819,85.61480257884566,london,5,18-24,male,right,True,midwest,0.0,latemorning,21.0,earlyafternoon,42.0,latemorning
118,w0005_s02_pLND_r03,0.5795454545454546,85.1292454439051,london,5,18-24,male,right,True,midwest,0.0,latemorning,21.0,earlyafternoon,42.0,latemorning
119,w0005_s02_pPHR_r01,1.0,96.80874034336635,phrase,5,18-24,male,right,True,midwest,0.0,latemorning,21.0,earlyafternoon,42.0,latemorning
120,w0005_s02_pPHR_r03,0.6428571428571428,85.21068409511021,phrase,5,18-24,male,right,True,midwest,0.0,latemorning,21.0,earlyafternoon,42.0,latemorning
121,w0005_s02_pWOZ_r01,0.696969696969697,86.7431592652292,woz,5,18-24,male,right,True,midwest,0.0,latemorning,21.0,earlyafternoon,42.0,latemorning
122,w0005_s02_pWOZ_r02,0.7121212121212122,83.58822127122146,woz,5,18-24,male,right,True,midwest,0.0,latemorning,21.0,earlyafternoon,42.0,latemorning
123,w0005_s02_pWOZ_r03,0.6818181818181819,89.77329030112615,woz,5,18-24,male,right,True,midwest,0.0,latemorning,21.0,earlyafternoon,42.0,latemorning
124,w0005_s03_pLND_r01,0.6704545454545454,85.56200183730527,london,5,18-24,male,right,True,midwest,0.0,latemorning,21.0,earlyafternoon,42.0,latemorning
125,w0005_s03_pLND_r02,0.6363636363636364,89.84595121820288,london,5,18-24,male,right,True,midwest,0.0,latemorning,21.0,earlyafternoon,42.0,latemorning
126,w0005_s03_pLND_r03,0.6590909090909092,85.91719202768235,london,5,18-24,male,right,True,midwest,0.0,latemorning,21.0,earlyafternoon,42.0,latemorning
127,w0005_s03_pPHR_r01,1.0,96.6871316092355,phrase,5,18-24,male,right,True,midwest,0.0,latemorning,21.0,earlyafternoon,42.0,latemorning
128,w0005_s03_pPHR_r02,0.3571428571428571,80.12228298187256,phrase,5,18-24,male,right,True,midwest,0.0,latemorning,21.0,earlyafternoon,42.0,latemorning
129,w0005_s03_pPHR_r03,0.7857142857142857,90.15917805262974,phrase,5,18-24,male,right,True,midwest,0.0,latemorning,21.0,earlyafternoon,42.0,latemorning
130,w0005_s03_pWOZ_r01,0.7424242424242424,88.17031353623119,woz,5,18-24,male,right,True,midwest,0.0,latemorning,21.0,earlyafternoon,42.0,latemorning
131,w0005_s03_pWOZ_r02,0.6515151515151515,87.14226852763782,woz,5,18-24,male,right,True,midwest,0.0,latemorning,21.0,earlyafternoon,42.0,latemorning
132,w0005_s03_pWOZ_r03,0.6363636363636364,85.78690480474216,woz,5,18-24,male,right,True,midwest,0.0,latemorning,21.0,earlyafternoon,42.0,latemorning
133,w0006_s01_pLND_r01,0.8863636363636364,94.74200721014114,london,6,18-24,male,right,True,midwest,0.0,earlyevening,42.0,lateevening,82.0,earlyevening
134,w0006_s01_pLND_r02,0.8863636363636364,95.9395390222239,london,6,18-24,male,right,True,midwest,0.0,earlyevening,42.0,lateevening,82.0,earlyevening
135,w0006_s01_pLND_r03,0.9090909090909091,97.32993232372195,london,6,18-24,male,right,True,midwest,0.0,earlyevening,42.0,lateevening,82.0,earlyevening
136,w0006_s01_pPHR_r01,1.0,98.26017161778041,phrase,6,18-24,male,right,True,midwest,0.0,earlyevening,42.0,lateevening,82.0,earlyevening
137,w0006_s01_pPHR_r02,0.9285714285714286,97.05507714407784,phrase,6,18-24,male,right,True,midwest,0.0,earlyevening,42.0,lateevening,82.0,earlyevening
138,w0006_s01_pPHR_r03,1.0,98.58710752214704,phrase,6,18-24,male,right,True,midwest,0.0,earlyevening,42.0,lateevening,82.0,earlyevening
139,w0006_s01_pWOZ_r01,0.9393939393939394,98.32507682569099,woz,6,18-24,male,right,True,midwest,0.0,earlyevening,42.0,lateevening,82.0,earlyevening
